date,open,high,low,close
2022-12-20 05:04:00,1.06079,1.06096,1.06073,1.06087
2022-12-20 05:05:00,1.06088,1.06095,1.06076,1.06084
2022-12-20 05:06:00,1.06085,1.06095,1.06084,1.06093
2022-12-20 05:07:00,1.06093,1.06115,1.06087,1.06088
2022-12-20 05:08:00,1.0609,1.06102,1.0608,1.06094
2022-12-20 05:09:00,1.06093,1.06102,1.06092,1.06096
2022-12-20 05:10:00,1.06098,1.06115,1.06096,1.06097
2022-12-20 05:11:00,1.06098,1.06118,1.06098,1.06114
2022-12-20 05:12:00,1.06115,1.06121,1.06103,1.06114
2022-12-20 05:13:00,1.06115,1.0612,1.06081,1.06088
2022-12-20 05:14:00,1.06087,1.06089,1.06056,1.06056
2022-12-20 05:15:00,1.06058,1.0606,1.06019,1.06019
2022-12-20 05:16:00,1.06017,1.06038,1.06016,1.06032
2022-12-20 05:17:00,1.06032,1.06033,1.06022,1.06024
2022-12-20 05:18:00,1.06024,1.06031,1.06013,1.06026
2022-12-20 05:19:00,1.06027,1.06027,1.06012,1.06012
2022-12-20 05:20:00,1.06012,1.06016,1.06002,1.06008
2022-12-20 05:21:00,1.06007,1.06019,1.06,1.06003
2022-12-20 05:22:00,1.06005,1.06013,1.05992,1.05996
2022-12-20 05:23:00,1.05998,1.06006,1.0599,1.05998
2022-12-20 05:24:00,1.05998,1.06002,1.05969,1.05978
2022-12-20 05:25:00,1.05978,1.05987,1.05968,1.0597
2022-12-20 05:26:00,1.05971,1.05971,1.0593,1.05941
2022-12-20 05:27:00,1.0594,1.05947,1.05935,1.05947
2022-12-20 05:28:00,1.05948,1.05959,1.05943,1.05951
2022-12-20 05:29:00,1.0595,1.0595,1.05908,1.05931
2022-12-20 05:30:00,1.05929,1.05944,1.05918,1.05918
2022-12-20 05:31:00,1.05919,1.05923,1.05908,1.0591
2022-12-20 05:32:00,1.05911,1.05933,1.05911,1.05929
2022-12-20 05:33:00,1.05928,1.05929,1.05909,1.05919
2022-12-20 05:34:00,1.05918,1.05919,1.05884,1.05886
2022-12-20 05:35:00,1.05883,1.05887,1.05859,1.0586
2022-12-20 05:36:00,1.05859,1.05862,1.05828,1.05852
2022-12-20 05:37:00,1.05851,1.05851,1.05809,1.05817
2022-12-20 05:38:00,1.05819,1.05834,1.05802,1.05822
2022-12-20 05:39:00,1.05823,1.05839,1.05807,1.05818
2022-12-20 05:40:00,1.05817,1.05851,1.05813,1.05847
2022-12-20 05:41:00,1.05848,1.05856,1.05845,1.05853
2022-12-20 05:42:00,1.05854,1.05873,1.05854,1.05862
2022-12-20 05:43:00,1.05862,1.0588,1.05856,1.05869
2022-12-20 05:44:00,1.05869,1.0588,1.05859,1.05869
2022-12-20 05:45:00,1.05868,1.0587,1.05838,1.05847
2022-12-20 05:46:00,1.05848,1.05874,1.05847,1.05873
2022-12-20 05:47:00,1.05873,1.05882,1.05866,1.05877
2022-12-20 05:48:00,1.05875,1.05878,1.05827,1.05827
2022-12-20 05:49:00,1.05827,1.05832,1.05806,1.05828
2022-12-20 05:50:00,1.05827,1.05838,1.05825,1.05827
2022-12-20 05:51:00,1.05826,1.05826,1.05813,1.05813
2022-12-20 05:52:00,1.05814,1.05834,1.05812,1.05815
2022-12-20 05:53:00,1.05816,1.05825,1.05806,1.0581
2022-12-20 05:54:00,1.05811,1.05817,1.05788,1.05801
2022-12-20 05:55:00,1.05801,1.05839,1.05791,1.05839
2022-12-20 05:56:00,1.05835,1.0584,1.05819,1.05833
2022-12-20 05:57:00,1.05832,1.05853,1.0583,1.05853
2022-12-20 05:58:00,1.05851,1.05852,1.05838,1.05842
2022-12-20 05:59:00,1.05842,1.05864,1.05827,1.05862
2022-12-20 06:00:00,1.05862,1.05881,1.05852,1.05858
2022-12-20 06:01:00,1.05856,1.05889,1.05847,1.05882
2022-12-20 06:02:00,1.05883,1.05899,1.05877,1.05885
2022-12-20 06:03:00,1.05886,1.05889,1.05868,1.05873
2022-12-20 06:04:00,1.05873,1.05873,1.05856,1.05857
2022-12-20 06:05:00,1.05856,1.05859,1.05845,1.05845
2022-12-20 06:06:00,1.05847,1.05848,1.05827,1.05844
2022-12-20 06:07:00,1.05845,1.05878,1.05843,1.05878
2022-12-20 06:08:00,1.05877,1.05891,1.05874,1.05887
2022-12-20 06:09:00,1.05887,1.05901,1.05886,1.05893
2022-12-20 06:10:00,1.05892,1.05963,1.05889,1.0596
2022-12-20 06:11:00,1.05961,1.05965,1.05933,1.05947
2022-12-20 06:12:00,1.05946,1.05955,1.05924,1.05928
2022-12-20 06:13:00,1.05926,1.05947,1.05924,1.05933
2022-12-20 06:14:00,1.05934,1.05958,1.05934,1.05943
2022-12-20 06:15:00,1.05944,1.05952,1.05939,1.05943
2022-12-20 06:16:00,1.05942,1.05943,1.05925,1.05928
2022-12-20 06:17:00,1.05929,1.05942,1.05922,1.05931
2022-12-20 06:18:00,1.05932,1.05953,1.0593,1.05931
2022-12-20 06:19:00,1.0593,1.05943,1.05925,1.05937
2022-12-20 06:20:00,1.05938,1.05949,1.0593,1.05935
2022-12-20 06:21:00,1.05935,1.05957,1.05924,1.0595
2022-12-20 06:22:00,1.05951,1.05952,1.05924,1.05927
2022-12-20 06:23:00,1.05927,1.05941,1.05922,1.05928
2022-12-20 06:24:00,1.05929,1.05948,1.05927,1.05939
2022-12-20 06:25:00,1.0594,1.05948,1.05934,1.05944
2022-12-20 06:26:00,1.05943,1.05964,1.05938,1.05963
2022-12-20 06:27:00,1.05961,1.05987,1.05959,1.05973
2022-12-20 06:28:00,1.05972,1.06004,1.0597,1.0599
2022-12-20 06:29:00,1.05989,1.06004,1.05977,1.05994
2022-12-20 06:30:00,1.05993,1.06001,1.05961,1.05961
2022-12-20 06:31:00,1.0596,1.05983,1.05959,1.05977
2022-12-20 06:32:00,1.05977,1.06013,1.05966,1.05966
2022-12-20 06:33:00,1.05967,1.05977,1.0596,1.05972
2022-12-20 06:34:00,1.05973,1.05994,1.05972,1.05983
2022-12-20 06:35:00,1.05984,1.06013,1.05984,1.06012
2022-12-20 06:36:00,1.06012,1.06012,1.05989,1.05999
2022-12-20 06:37:00,1.06,1.06016,1.05983,1.05986
2022-12-20 06:38:00,1.05986,1.06004,1.05974,1.05986
2022-12-20 06:39:00,1.05987,1.05987,1.05945,1.05964
2022-12-20 06:40:00,1.05964,1.05979,1.05964,1.05973
2022-12-20 06:41:00,1.05973,1.05992,1.05967,1.05967
2022-12-20 06:42:00,1.05966,1.05992,1.05963,1.05976
2022-12-20 06:43:00,1.05976,1.06007,1.05971,1.05989
2022-12-20 06:44:00,1.05989,1.06004,1.05986,1.05991
2022-12-20 06:45:00,1.0599,1.05991,1.05916,1.0594
2022-12-20 06:46:00,1.05939,1.05952,1.05926,1.0594
2022-12-20 06:47:00,1.05942,1.05952,1.05924,1.05949
2022-12-20 06:48:00,1.05949,1.05952,1.05931,1.05951
2022-12-20 06:49:00,1.05951,1.05966,1.05937,1.05939
2022-12-20 06:50:00,1.05939,1.05943,1.05917,1.0594
2022-12-20 06:51:00,1.0594,1.05948,1.0592,1.05924
2022-12-20 06:52:00,1.05924,1.05946,1.05912,1.05945
2022-12-20 06:53:00,1.05943,1.05945,1.05925,1.05942
2022-12-20 06:54:00,1.05943,1.05973,1.05943,1.05964
2022-12-20 06:55:00,1.05964,1.05978,1.05954,1.05969
2022-12-20 06:56:00,1.0597,1.05974,1.05946,1.05954
2022-12-20 06:57:00,1.05955,1.05969,1.05932,1.05933
2022-12-20 06:58:00,1.05933,1.05936,1.05905,1.05905
2022-12-20 06:59:00,1.05907,1.0594,1.05901,1.05935
2022-12-20 07:00:00,1.05936,1.05982,1.05936,1.05941
2022-12-20 07:01:00,1.0594,1.05965,1.05917,1.0594
2022-12-20 07:02:00,1.05942,1.05963,1.05927,1.05957
2022-12-20 07:03:00,1.05959,1.05961,1.05944,1.05951
2022-12-20 07:04:00,1.05951,1.05966,1.05947,1.0595
2022-12-20 07:05:00,1.05952,1.06003,1.05952,1.05983
2022-12-20 07:06:00,1.05982,1.06027,1.05982,1.06006
2022-12-20 07:07:00,1.06006,1.06026,1.05975,1.06026
2022-12-20 07:08:00,1.06026,1.06026,1.05982,1.05997
2022-12-20 07:09:00,1.05996,1.06003,1.05971,1.05971
2022-12-20 07:10:00,1.05971,1.0598,1.05958,1.05961
2022-12-20 07:11:00,1.05959,1.06017,1.05957,1.06012
2022-12-20 07:12:00,1.06014,1.06016,1.05986,1.0599
2022-12-20 07:13:00,1.0599,1.06025,1.05987,1.06019
2022-12-20 07:14:00,1.0602,1.06046,1.06007,1.06011
2022-12-20 07:15:00,1.06011,1.06036,1.0601,1.06012
2022-12-20 07:16:00,1.06012,1.06012,1.05985,1.05996
2022-12-20 07:17:00,1.05997,1.06007,1.05981,1.05987
2022-12-20 07:18:00,1.05987,1.06005,1.05983,1.05999
2022-12-20 07:19:00,1.06,1.06018,1.05991,1.0601
2022-12-20 07:20:00,1.0601,1.06039,1.06008,1.06019
2022-12-20 07:21:00,1.0602,1.06055,1.0602,1.0605
2022-12-20 07:22:00,1.06052,1.06052,1.06014,1.06021
2022-12-20 07:23:00,1.06021,1.0603,1.06013,1.06028
2022-12-20 07:24:00,1.06029,1.06043,1.06024,1.06043
2022-12-20 07:25:00,1.06043,1.0609,1.06042,1.06046
2022-12-20 07:26:00,1.06044,1.06087,1.06034,1.06082
2022-12-20 07:27:00,1.06082,1.0609,1.06067,1.06084
2022-12-20 07:28:00,1.06087,1.06123,1.06087,1.06111
2022-12-20 07:29:00,1.06113,1.06138,1.06109,1.0613
2022-12-20 07:30:00,1.06131,1.06135,1.0609,1.06101
2022-12-20 07:31:00,1.06101,1.06122,1.06086,1.06087
2022-12-20 07:32:00,1.06088,1.06095,1.06065,1.06079
2022-12-20 07:33:00,1.0608,1.061,1.06077,1.06081
2022-12-20 07:34:00,1.06081,1.06098,1.06075,1.06088
2022-12-20 07:35:00,1.06085,1.06088,1.06061,1.06067
2022-12-20 07:36:00,1.06065,1.06068,1.06041,1.06061
2022-12-20 07:37:00,1.06061,1.06082,1.06048,1.0605
2022-12-20 07:38:00,1.0605,1.0605,1.06014,1.06032
2022-12-20 07:39:00,1.06033,1.06034,1.0602,1.06021
2022-12-20 07:40:00,1.06023,1.06029,1.05995,1.06028
2022-12-20 07:41:00,1.06029,1.06044,1.06005,1.06006
2022-12-20 07:42:00,1.06007,1.06012,1.05991,1.05997
2022-12-20 07:43:00,1.05995,1.06003,1.05989,1.05999
2022-12-20 07:44:00,1.05998,1.06028,1.0599,1.06027
2022-12-20 07:45:00,1.06027,1.06059,1.06006,1.06037
2022-12-20 07:46:00,1.06037,1.06087,1.06033,1.06059
2022-12-20 07:47:00,1.06061,1.06091,1.0604,1.06062
2022-12-20 07:48:00,1.06062,1.06072,1.06029,1.06053
2022-12-20 07:49:00,1.06053,1.06091,1.06042,1.06088
2022-12-20 07:50:00,1.06089,1.06094,1.06058,1.06086
2022-12-20 07:51:00,1.06086,1.06097,1.06075,1.06092
2022-12-20 07:52:00,1.06094,1.06136,1.06081,1.06136
2022-12-20 07:53:00,1.06136,1.06153,1.06125,1.06126
2022-12-20 07:54:00,1.06126,1.06134,1.06115,1.06133
2022-12-20 07:55:00,1.06133,1.06144,1.06116,1.0612
2022-12-20 07:56:00,1.0612,1.06132,1.061,1.06106
2022-12-20 07:57:00,1.06105,1.06137,1.06105,1.06131
2022-12-20 07:58:00,1.06132,1.06135,1.06088,1.06116
2022-12-20 07:59:00,1.06116,1.06126,1.06099,1.06111
2022-12-20 08:00:00,1.06111,1.06148,1.06111,1.06145
2022-12-20 08:01:00,1.06145,1.0622,1.06145,1.06204
2022-12-20 08:02:00,1.06202,1.0621,1.06191,1.06205
2022-12-20 08:03:00,1.06206,1.06248,1.06205,1.06208
2022-12-20 08:04:00,1.06209,1.06238,1.06201,1.0622
2022-12-20 08:05:00,1.06219,1.06236,1.06191,1.06226
2022-12-20 08:06:00,1.06226,1.06239,1.06216,1.06232
2022-12-20 08:07:00,1.06233,1.06238,1.06212,1.06234
2022-12-20 08:08:00,1.06236,1.06239,1.06188,1.06199
2022-12-20 08:09:00,1.062,1.06203,1.06169,1.06186
2022-12-20 08:10:00,1.06185,1.06188,1.06156,1.06162
2022-12-20 08:11:00,1.06161,1.06193,1.06121,1.06125
2022-12-20 08:12:00,1.06126,1.06134,1.06106,1.06116
2022-12-20 08:13:00,1.06117,1.06124,1.06089,1.06092
2022-12-20 08:14:00,1.06093,1.06139,1.06092,1.06139
2022-12-20 08:15:00,1.06139,1.06149,1.06111,1.06115
